weekday_name,hour,person_type,age_group,gender,is_weekend,is_holiday,visitor_count,concurrent_wait_count,hour_sin,hour_cos,wait_duration,rolling_wait_mean,rolling_exit_count,is_morning_rush,is_lunch_time,is_evening_rush,prev_wait,wait_diff
Tuesday,10,dine-in,teen,M,0,0,2,2,0.49999999999999994,-0.8660254037844387,20,12.0,0,0,0,0,6.0,14.0
Tuesday,13,dine-in,30s,F,0,0,6,6,-0.2588190451025208,-0.9659258262890683,18,16.3,0,0,1,0,20.0,-2.0
Tuesday,15,dine-in,50s,M,0,0,5,5,-0.7071067811865471,-0.7071067811865479,10,13.5,0,0,0,0,16.0,-6.0
Tuesday,15,dine-in,30s,F,0,0,5,5,-0.7071067811865471,-0.7071067811865479,16,14.0,0,0,0,0,18.0,-2.0
Tuesday,16,dine-in,20s,M,0,0,5,5,-0.8660254037844385,-0.5000000000000004,13,12.4,0,0,0,0,20.0,-7.0
Tuesday,17,dine-in,30s,M,0,0,4,4,-0.9659258262890683,-0.25881904510252063,20,11.6,2,0,0,1,5.0,15.0
Tuesday,15,dine-in,20s,F,0,0,5,5,-0.7071067811865471,-0.7071067811865479,9,13.7,0,0,0,0,16.0,-7.0
Tuesday,11,dine-in,40s,M,0,0,2,2,0.258819045102521,-0.9659258262890682,13,13.333333333333334,1,0,0,0,19.0,-6.0
Tuesday,12,dine-in,50s,M,0,0,4,4,1.2246467991473532e-16,-1.0,16,13.714285714285714,0,0,1,0,13.0,3.0
Tuesday,17,dine-in,20s,F,0,0,4,4,-0.9659258262890683,-0.25881904510252063,5,10.6,0,0,0,1,13.0,-8.0
Tuesday,14,dine-in,teen,M,0,0,1,1,-0.4999999999999997,-0.8660254037844388,18,14.1,3,0,0,0,5.0,13.0
Tuesday,13,dine-in,30s,M,0,0,6,6,-0.2588190451025208,-0.9659258262890683,12,14.6,0,0,1,0,16.0,-4.0
Tuesday,15,dine-in,teen,M,0,0,5,5,-0.7071067811865471,-0.7071067811865479,9,12.4,0,0,0,0,10.0,-1.0
Tuesday,11,dine-in,40s,M,0,0,2,2,0.258819045102521,-0.9659258262890682,19,13.4,0,0,0,0,20.0,-1.0
Tuesday,13,dine-in,teen,M,0,0,6,6,-0.2588190451025208,-0.9659258262890683,20,15.1,0,0,1,0,12.0,8.0
Tuesday,15,dine-in,teen,F,0,0,5,5,-0.7071067811865471,-0.7071067811865479,16,13.7,0,0,0,0,9.0,7.0
Tuesday,16,dine-in,20s,F,0,0,5,5,-0.8660254037844385,-0.5000000000000004,11,12.2,3,0,0,0,12.0,-1.0
Tuesday,18,dine-in,60+,M,0,0,1,1,-1.0,-1.8369701987210297e-16,16,12.3,0,0,0,1,20.0,-4.0
Tuesday,20,dine-in,30s,F,0,0,1,1,-0.8660254037844386,0.5000000000000001,15,11.1,0,0,0,0,6.0,9.0
Tuesday,13,dine-in,50s,M,0,0,6,6,-0.2588190451025208,-0.9659258262890683,8,14.7,0,0,1,0,15.0,-7.0
Tuesday,16,dine-in,teen,F,0,0,5,5,-0.8660254037844385,-0.5000000000000004,12,12.9,0,0,0,0,6.0,6.0
Tuesday,12,dine-in,30s,M,0,0,4,4,1.2246467991473532e-16,-1.0,17,14.125,0,0,1,0,16.0,1.0
Tuesday,9,dine-in,40s,F,0,0,2,2,0.7071067811865476,-0.7071067811865475,7,7.0,0,1,0,0,12.435510887772194,0.0
Tuesday,17,dine-in,60+,F,0,0,4,4,-0.9659258262890683,-0.25881904510252063,7,11.3,0,0,0,1,11.0,-4.0
Tuesday,16,dine-in,30s,F,0,0,5,5,-0.8660254037844385,-0.5000000000000004,6,12.2,0,0,0,0,13.0,-7.0
Tuesday,13,dine-in,50s,M,0,0,6,6,-0.2588190451025208,-0.9659258262890683,5,13.9,2,0,1,0,8.0,-3.0
Tuesday,21,dine-in,30s,F,0,0,1,1,-0.7071067811865477,0.7071067811865474,11,11.6,0,0,0,0,15.0,-4.0
Tuesday,13,dine-in,50s,F,0,0,6,6,-0.2588190451025208,-0.9659258262890683,15,15.8,0,0,1,0,18.0,-3.0
Tuesday,10,dine-in,20s,M,0,0,2,2,0.49999999999999994,-0.8660254037844387,6,9.333333333333334,0,0,0,0,15.0,-9.0
Tuesday,9,dine-in,50s,F,0,0,2,2,0.7071067811865476,-0.7071067811865475,15,11.0,0,1,0,0,7.0,8.0
Tuesday,12,dine-in,30s,M,0,0,4,4,1.2246467991473532e-16,-1.0,16,14.1,0,0,1,0,12.0,4.0
Tuesday,16,dine-in,20s,F,0,0,5,5,-0.8660254037844385,-0.5000000000000004,20,12.6,0,0,0,0,9.0,11.0
Tuesday,19,dine-in,20s,F,0,0,1,1,-0.9659258262890684,0.2588190451025203,6,10.9,0,0,0,1,16.0,-10.0
Tuesday,12,dine-in,20s,M,0,0,4,4,1.2246467991473532e-16,-1.0,12,13.88888888888889,2,0,1,0,17.0,-5.0
Tuesday,17,dine-in,20s,F,0,0,4,4,-0.9659258262890683,-0.25881904510252063,13,11.7,0,0,0,1,7.0,6.0
Wednesday,16,dine-in,30s,M,0,0,7,7,-0.8660254037844385,-0.5000000000000004,7,10.4,0,0,0,0,9.0,-2.0
Wednesday,16,dine-in,20s,M,0,0,7,7,-0.8660254037844385,-0.5000000000000004,7,10.7,0,0,0,0,10.0,-3.0
Wednesday,19,dine-in,50s,F,0,0,3,3,-0.9659258262890684,0.2588190451025203,20,14.7,0,0,0,1,10.0,10.0
Wednesday,17,dine-in,20s,F,0,0,8,8,-0.9659258262890683,-0.25881904510252063,13,9.2,1,0,0,1,5.0,8.0
Wednesday,10,dine-in,20s,F,0,0,2,2,0.49999999999999994,-0.8660254037844387,12,11.4,0,0,0,0,9.0,3.0
Wednesday,20,dine-in,30s,M,0,0,4,4,-0.8660254037844386,0.5000000000000001,12,14.9,0,0,0,0,20.0,-8.0
Wednesday,17,dine-in,40s,M,0,0,8,8,-0.9659258262890683,-0.25881904510252063,5,8.9,1,0,0,1,8.0,-3.0
Wednesday,17,dine-in,60+,M,0,0,8,8,-0.9659258262890683,-0.25881904510252063,18,10.1,1,0,0,1,13.0,5.0
Wednesday,20,dine-in,20s,M,0,0,4,4,-0.8660254037844386,0.5000000000000001,17,14.1,2,0,0,0,6.0,11.0
Wednesday,19,dine-in,20s,F,0,0,3,3,-0.9659258262890684,0.2588190451025203,16,14.8,0,0,0,1,17.0,-1.0
Wednesday,14,dine-in,teen,F,0,0,5,5,-0.4999999999999997,-0.8660254037844388,8,9.6,0,0,0,0,13.0,-5.0
Wednesday,15,dine-in,30s,F,0,0,2,2,-0.7071067811865471,-0.7071067811865479,14,11.4,1,0,0,0,13.0,1.0
Wednesday,12,dine-in,30s,F,0,0,5,5,1.2246467991473532e-16,-1.0,9,13.6,0,0,1,0,19.0,-10.0
Wednesday,20,dine-in,teen,M,0,0,4,4,-0.8660254037844386,0.5000000000000001,20,15.2,0,0,0,0,20.0,0.0
Wednesday,19,dine-in,20s,M,0,0,3,3,-0.9659258262890684,0.2588190451025203,10,14.5,0,0,0,1,16.0,-6.0
Wednesday,16,dine-in,20s,M,0,0,7,7,-0.8660254037844385,-0.5000000000000004,14,10.3,1,0,0,0,7.0,7.0
Wednesday,16,dine-in,50s,F,0,0,7,7,-0.8660254037844385,-0.5000000000000004,12,10.6,1,0,0,0,7.0,5.0
Wednesday,13,dine-in,30s,M,0,0,5,5,-0.2588190451025208,-0.9659258262890683,14,12.4,2,0,1,0,11.0,3.0
Wednesday,18,dine-in,20s,M,0,0,3,3,-1.0,-1.8369701987210297e-16,12,13.1,2,0,0,1,20.0,-8.0
