person_id,timestamp,event_type,zone,age_group,gender,duration,person_type
1,2025-04-14 12:29:00,enter,four_seat,60+,F,NULL,dine-in
1,2025-04-14 12:45:00,stay,four_seat,60+,F,32,dine-in
1,2025-04-14 13:01:00,exit,four_seat,60+,F,32,dine-in
2,2025-04-14 10:53:00,enter,two_seat,teen,M,NULL,dine-in
2,2025-04-14 10:53:00,wait,two_seat,teen,M,NULL,dine-in
3,2025-04-14 11:30:00,enter,NULL,40s,F,2,takeout
3,2025-04-14 11:32:00,exit,NULL,40s,F,2,takeout
4,2025-04-14 17:38:00,enter,four_seat,50s,F,NULL,dine-in
4,2025-04-14 17:52:00,stay,four_seat,50s,F,28,dine-in
4,2025-04-14 18:06:00,exit,four_seat,50s,F,28,dine-in
5,2025-04-14 14:33:00,enter,four_seat,teen,F,NULL,dine-in
5,2025-04-14 14:59:00,stay,four_seat,teen,F,52,dine-in
5,2025-04-14 15:25:00,exit,four_seat,teen,F,52,dine-in
6,2025-04-14 13:44:00,enter,two_seat,30s,F,NULL,dine-in
6,2025-04-14 13:44:00,wait,two_seat,30s,F,NULL,dine-in
7,2025-04-14 20:28:00,enter,four_seat,30s,F,NULL,dine-in
7,2025-04-14 20:56:00,stay,four_seat,30s,F,56,dine-in
7,2025-04-14 21:24:00,exit,four_seat,30s,F,56,dine-in
8,2025-04-14 17:01:00,enter,NULL,50s,F,4,takeout
8,2025-04-14 17:05:00,exit,NULL,50s,F,4,takeout
9,2025-04-14 16:13:00,enter,four_seat,teen,M,NULL,dine-in
9,2025-04-14 16:48:00,stay,four_seat,teen,M,70,dine-in
9,2025-04-14 17:23:00,exit,four_seat,teen,M,70,dine-in
10,2025-04-14 15:15:00,enter,two_seat,50s,M,NULL,dine-in
10,2025-04-14 15:15:00,wait,two_seat,50s,M,NULL,dine-in
11,2025-04-14 20:12:00,enter,NULL,30s,F,6,takeout
11,2025-04-14 20:18:00,exit,NULL,30s,F,6,takeout
12,2025-04-14 10:11:00,enter,two_seat,60+,M,NULL,dine-in
12,2025-04-14 10:42:00,stay,two_seat,60+,M,63,dine-in
12,2025-04-14 11:14:00,exit,two_seat,60+,M,63,dine-in
13,2025-04-14 19:56:00,enter,four_seat,20s,M,NULL,dine-in
13,2025-04-14 20:16:00,stay,four_seat,20s,M,41,dine-in
13,2025-04-14 20:37:00,exit,four_seat,20s,M,41,dine-in
14,2025-04-14 16:41:00,enter,four_seat,20s,F,NULL,dine-in
14,2025-04-14 16:56:00,stay,four_seat,20s,F,31,dine-in
14,2025-04-14 17:12:00,exit,four_seat,20s,F,31,dine-in
15,2025-04-14 15:00:00,enter,two_seat,30s,M,NULL,dine-in
15,2025-04-14 15:08:00,stay,two_seat,30s,M,16,dine-in
15,2025-04-14 15:16:00,exit,two_seat,30s,M,16,dine-in
16,2025-04-14 18:05:00,enter,two_seat,teen,M,NULL,dine-in
16,2025-04-14 18:13:00,stay,two_seat,teen,M,17,dine-in
16,2025-04-14 18:22:00,exit,two_seat,teen,M,17,dine-in
17,2025-04-14 17:23:00,enter,NULL,teen,M,4,takeout
17,2025-04-14 17:27:00,exit,NULL,teen,M,4,takeout
18,2025-04-14 12:07:00,enter,four_seat,30s,F,NULL,dine-in
18,2025-04-14 13:02:00,stay,four_seat,30s,F,111,dine-in
18,2025-04-14 13:58:00,exit,four_seat,30s,F,111,dine-in
19,2025-04-14 15:52:00,enter,four_seat,20s,F,NULL,dine-in
